      x        P5        err
  -0.45900  -0.17492  -0.00000
  -0.45800  -0.17682  -0.00000
  -0.45700  -0.17871  -0.00000
  -0.45600  -0.18060  -0.00000
  -0.45500  -0.18247  -0.00000
  -0.45400  -0.18434  -0.00000
  -0.45300  -0.18620  -0.00000
  -0.45200  -0.18805  -0.00000
  -0.45100  -0.18989  -0.00000
  -0.45000  -0.19172  -0.00000
  -0.44900  -0.19354  -0.00000
  -0.44800  -0.19535  -0.00000
  -0.44700  -0.19716  -0.00000
  -0.44600  -0.19895  -0.00000
  -0.44500  -0.20073  -0.00000
  -0.44400  -0.20251  -0.00000
  -0.44300  -0.20427  -0.00000
  -0.44200  -0.20603  -0.00000
  -0.44100  -0.20777  -0.00000
  -0.44000  -0.20951  -0.00000
  -0.43900  -0.21123  -0.00000
  -0.43800  -0.21295  -0.00000
  -0.43700  -0.21466  -0.00000
  -0.43600  -0.21636  -0.00000
  -0.43500  -0.21804  -0.00000
  -0.43400  -0.21972  -0.00000
  -0.43300  -0.22139  -0.00000
  -0.43200  -0.22304  -0.00000
  -0.43100  -0.22469  -0.00000
  -0.43000  -0.22633  -0.00000
  -0.42900  -0.22796  -0.00000
  -0.42800  -0.22957  -0.00000
  -0.42700  -0.23118  -0.00000
  -0.42600  -0.23278  -0.00000
  -0.42500  -0.23437  -0.00000
  -0.42400  -0.23594  -0.00000
  -0.42300  -0.23751  -0.00000
  -0.42200  -0.23906  -0.00000
  -0.42100  -0.24061  -0.00000
  -0.42000  -0.24215  -0.00000
  -0.41900  -0.24367  -0.00000
  -0.41800  -0.24519  -0.00000
  -0.41700  -0.24669  -0.00000
  -0.41600  -0.24818  -0.00000
  -0.41500  -0.24967  -0.00000
  -0.41400  -0.25114  -0.00000
  -0.41300  -0.25260  -0.00000
  -0.41200  -0.25405  -0.00000
  -0.41100  -0.25549  -0.00000
  -0.41000  -0.25692  -0.00000
  -0.40900  -0.25834  -0.00000
  -0.40800  -0.25975  -0.00000
  -0.40700  -0.26115  -0.00000
  -0.40600  -0.26254  -0.00000
  -0.40500  -0.26392  -0.00000
  -0.40400  -0.26528  -0.00000
  -0.40300  -0.26664  -0.00000
  -0.40200  -0.26798  -0.00000
  -0.40100  -0.26931  -0.00000
  -0.40000  -0.27064  -0.00000
  -0.39900  -0.27195  -0.00000
  -0.39800  -0.27325  -0.00000
  -0.39700  -0.27454  -0.00000
  -0.39600  -0.27582  -0.00000
  -0.39500  -0.27708  -0.00000
  -0.39400  -0.27834  -0.00000
  -0.39300  -0.27959  -0.00000
  -0.39200  -0.28082  -0.00000
  -0.39100  -0.28204  -0.00000
  -0.39000  -0.28326  -0.00000
  -0.38900  -0.28446  -0.00000
  -0.38800  -0.28565  -0.00000
  -0.38700  -0.28683  -0.00000
  -0.38600  -0.28799  -0.00000
  -0.38500  -0.28915  -0.00000
  -0.38400  -0.29030  -0.00000
  -0.38300  -0.29143  -0.00000
  -0.38200  -0.29255  -0.00000
  -0.38100  -0.29366  -0.00000
  -0.38000  -0.29476  -0.00000
  -0.37900  -0.29585  -0.00000
  -0.37800  -0.29693  -0.00000
  -0.37700  -0.29800  -0.00000
  -0.37600  -0.29905  -0.00000
  -0.37500  -0.30009  -0.00000
  -0.37400  -0.30113  -0.00000
  -0.37300  -0.30215  -0.00000
  -0.37200  -0.30316  -0.00000
  -0.37100  -0.30415  -0.00000
  -0.37000  -0.30514  -0.00000
  -0.36900  -0.30612  -0.00000
  -0.36800  -0.30708  -0.00000
  -0.36700  -0.30803  -0.00000
  -0.36600  -0.30897  -0.00000
  -0.36500  -0.30990  -0.00000
  -0.36400  -0.31082  -0.00000
  -0.36300  -0.31172  -0.00000
  -0.36200  -0.31262  -0.00000
  -0.36100  -0.31350  -0.00000
  -0.36000  -0.31437  -0.00000
  -0.35900  -0.31523  -0.00000
  -0.35800  -0.31608  -0.00000
  -0.35700  -0.31692  -0.00000
  -0.35600  -0.31774  -0.00000
  -0.35500  -0.31856  -0.00000
  -0.35400  -0.31936  -0.00000
  -0.35300  -0.32015  -0.00000
